Probability	lower	upper	Year	Predictions	ENiClust	Subgroup
0.220359568399398	0.205440674987172	0.235278461811623	2	Cumulative	IC10	TNBC
0.300082396290427	0.28269158080538	0.317473211775475	3	Cumulative	IC10	TNBC
0.316730268846379	0.298957646336143	0.334502891356615	4	Cumulative	IC10	TNBC
0.327719319307033	0.309716640315013	0.345721998299054	5	Cumulative	IC10	TNBC
0.333335887953025	0.315220131782237	0.351451644123813	6	Cumulative	IC10	TNBC
0.333306243506757	0.315189940800941	0.351422546212573	7	Cumulative	IC10	TNBC
0.339494931766283	0.321255585575485	0.357734277957081	8	Cumulative	IC10	TNBC
0.345893142340574	0.327528587886074	0.364257696795075	9	Cumulative	IC10	TNBC
0.345880057096138	0.327515300350748	0.364244813841528	10	Cumulative	IC10	TNBC
0.352815366116214	0.334315567669887	0.37131516456254	11	Cumulative	IC10	TNBC
0.35999335229375	0.341360544714059	0.378626159873441	12	Cumulative	IC10	TNBC
0.359974451512464	0.341341446368059	0.378607456656869	13	Cumulative	IC10	TNBC
0.359970266493336	0.341337190185802	0.37860334280087	14	Cumulative	IC10	TNBC
0.359961751894199	0.341328624540202	0.378594879248197	15	Cumulative	IC10	TNBC
0.359946947891934	0.34131360680804	0.378580288975829	16	Cumulative	IC10	TNBC
0.37302807569699	0.354143814320083	0.391912337073898	17	Cumulative	IC10	TNBC
0.373024671211782	0.354140378531374	0.391908963892189	18	Cumulative	IC10	TNBC
0.373014614907607	0.354130190812084	0.391899039003129	19	Cumulative	IC10	TNBC
0.373014614907607	0.354130190812084	0.391899039003129	20	Cumulative	IC10	TNBC
0.028127131831059	0.0268741208914688	0.0293801427706492	1	Cumulative	IC3/IC7/IC8	ER+ Typical
0.0710517271320393	0.0681490215776723	0.0739544326864062	2	Cumulative	IC3/IC7/IC8	ER+ Typical
0.108160355468962	0.104040022261806	0.112280688676118	3	Cumulative	IC3/IC7/IC8	ER+ Typical
0.150705721824267	0.145379223896896	0.156032219751638	4	Cumulative	IC3/IC7/IC8	ER+ Typical
0.178161822090996	0.172149964224667	0.184173679957324	5	Cumulative	IC3/IC7/IC8	ER+ Typical
0.209755072528338	0.203032725082201	0.216477419974474	6	Cumulative	IC3/IC7/IC8	ER+ Typical
0.240171878985821	0.232840277279655	0.247503480691987	7	Cumulative	IC3/IC7/IC8	ER+ Typical
0.25478430106994	0.247182711011852	0.262385891128028	8	Cumulative	IC3/IC7/IC8	ER+ Typical
0.27415664575271	0.266215070542938	0.282098220962482	9	Cumulative	IC3/IC7/IC8	ER+ Typical
0.298424817695377	0.290084577213283	0.306765058177472	10	Cumulative	IC3/IC7/IC8	ER+ Typical
0.322348169697241	0.313647541958666	0.331048797435817	11	Cumulative	IC3/IC7/IC8	ER+ Typical
0.336369655039811	0.327465932794347	0.345273377285275	12	Cumulative	IC3/IC7/IC8	ER+ Typical
0.343609744296669	0.334600260678146	0.352619227915193	13	Cumulative	IC3/IC7/IC8	ER+ Typical
0.365430703897656	0.356108087603606	0.374753320191706	14	Cumulative	IC3/IC7/IC8	ER+ Typical
0.387247679570136	0.377600385601182	0.39689497353909	15	Cumulative	IC3/IC7/IC8	ER+ Typical
0.393148212725226	0.383416239920023	0.40288018553043	16	Cumulative	IC3/IC7/IC8	ER+ Typical
0.399719241570315	0.389879341007162	0.409559142133467	17	Cumulative	IC3/IC7/IC8	ER+ Typical
0.406973409524403	0.397011299810405	0.416935519238401	18	Cumulative	IC3/IC7/IC8	ER+ Typical
0.419688013950205	0.40948887429582	0.42988715360459	19	Cumulative	IC3/IC7/IC8	ER+ Typical
0.419314466683592	0.40911562577008	0.429513307597103	20	Cumulative	IC3/IC7/IC8	ER+ Typical
0.0255143324124441	0.022185234189318	0.0288434306355702	1	Annual	IC1	ER+ High
0.111869816824702	0.0995029449647034	0.124236688684701	2	Annual	IC1	ER+ High
0.0745267659450581	0.0684339881693126	0.0806195437208037	3	Annual	IC1	ER+ High
0.0535880555017208	0.050247569797939	0.0569285412055025	4	Annual	IC1	ER+ High
0.0268530037422708	0.0254827701475386	0.028223237337003	5	Annual	IC1	ER+ High
0.063875887823019	0.0485901801597488	0.0791615954862892	6	Annual	IC1	ER+ High
0.0612029196616718	0.0511177185929708	0.0712881207303728	7	Annual	IC1	ER+ High
0.114033380830586	0.102721243433548	0.125345518227624	8	Annual	IC1	ER+ High
0.107606806083574	0.102440270382631	0.112773341784517	9	Annual	IC1	ER+ High
0.0552474652208873	0.054169256698005	0.0563256737437696	10	Annual	IC1	ER+ High
0.0312271652910968	0.0290576638898752	0.0333966666923184	11	Annual	IC1	ER+ High
0.0406252462079986	0.0380512121341699	0.0431992802818274	12	Annual	IC1	ER+ High
0.0361237712143767	0.0340757091550013	0.038171833273752	13	Annual	IC1	ER+ High
0.0276187298643189	0.0262089955158041	0.0290284642128336	14	Annual	IC1	ER+ High
0.0324824421736397	0.0309877410054547	0.0339771433418246	15	Annual	IC1	ER+ High
0.128070898639461	0.110634290529627	0.145507506749296	16	Annual	IC1	ER+ High
0.156981755661311	0.143682586917827	0.170280924404795	17	Annual	IC1	ER+ High
0.0491796623029737	0.0467340205050729	0.0516253041008744	18	Annual	IC1	ER+ High
0.0481014262208593	0.046452155661341	0.0497506967803775	19	Annual	IC1	ER+ High
-1.46726176354917e-05	-1.48031666692416e-05	-1.45420686017417e-05	20	Annual	IC1	ER+ High
0.0816995330568925	0.0740784846930101	0.0893205814207749	1	Annual	IC2	ER+ High
0.151188055551015	0.14100552081605	0.16137059028598	2	Annual	IC2	ER+ High
0.12221756455953	0.117473400374159	0.1269617287449	3	Annual	IC2	ER+ High
0.0971067349406925	0.0954873641230696	0.0987261057583154	4	Annual	IC2	ER+ High
0.0242850695961245	0.0241688807981537	0.0244012583940953	5	Annual	IC2	ER+ High
0.0136841789215417	0.0118452719620542	0.0155230858810291	6	Annual	IC2	ER+ High
0.109400749538488	0.0966039198690074	0.122197579207968	7	Annual	IC2	ER+ High
0.0667754876434993	0.0606294444310302	0.0729215308559684	8	Annual	IC2	ER+ High
0.0668078637878734	0.0619494473246129	0.0716662802511339	9	Annual	IC2	ER+ High
0.0268978766800619	0.0253096530397305	0.0284861003203934	10	Annual	IC2	ER+ High
0.0190941604924737	0.0168150286457605	0.0213732923391868	11	Annual	IC2	ER+ High
0.110826741353768	0.0993841291573819	0.122269353550154	12	Annual	IC2	ER+ High
0.0463365897112436	0.0424428763519347	0.0502303030705525	13	Annual	IC2	ER+ High
0.0836480217318041	0.0779508894086174	0.0893451540549908	14	Annual	IC2	ER+ High
0.0192308733523286	0.0181881666783037	0.0202735800263535	15	Annual	IC2	ER+ High
0.073381387810925	0.066617343821626	0.0801454318002239	16	Annual	IC2	ER+ High
0.146978180588473	0.138823331165546	0.155133030011399	17	Annual	IC2	ER+ High
0.0797228278910292	0.0772509058182071	0.0821947499638514	18	Annual	IC2	ER+ High
0.0166478725559518	0.0162660655307633	0.0170296795811404	19	Annual	IC2	ER+ High
0.0109890504606545	0.0107589939788699	0.011219106942439	20	Annual	IC2	ER+ High
0.028127131831059	0.0268741208914688	0.0293801427706492	1	Annual	IC4ER+	ER+ Typical
0.0429245953009803	0.0412749006862035	0.0445742899157571	2	Annual	IC4ER+	ER+ Typical
0.0371086283369227	0.0358910006841336	0.0383262559897117	3	Annual	IC4ER+	ER+ Typical
0.0425453663553055	0.0413392016350905	0.0437515310755205	4	Annual	IC4ER+	ER+ Typical
0.0274561002667283	0.0267707403277711	0.0281414602056854	5	Annual	IC4ER+	ER+ Typical
0.0255143324124441	0.022185234189318	0.0288434306355702	6	Annual	IC4ER+	ER+ Typical
0.111869816824702	0.0995029449647034	0.124236688684701	7	Annual	IC4ER+	ER+ Typical
0.0745267659450581	0.0684339881693126	0.0806195437208037	8	Annual	IC4ER+	ER+ Typical
0.0535880555017208	0.050247569797939	0.0569285412055025	9	Annual	IC4ER+	ER+ Typical
0.0268530037422708	0.0254827701475386	0.028223237337003	10	Annual	IC4ER+	ER+ Typical
0.063875887823019	0.0485901801597488	0.0791615954862892	11	Annual	IC4ER+	ER+ Typical
0.0612029196616718	0.0511177185929708	0.0712881207303728	12	Annual	IC4ER+	ER+ Typical
0.114033380830586	0.102721243433548	0.125345518227624	13	Annual	IC4ER+	ER+ Typical
0.107606806083574	0.102440270382631	0.112773341784517	14	Annual	IC4ER+	ER+ Typical
0.0552474652208873	0.054169256698005	0.0563256737437696	15	Annual	IC4ER+	ER+ Typical
0.0312271652910968	0.0290576638898752	0.0333966666923184	16	Annual	IC4ER+	ER+ Typical
0.0406252462079986	0.0380512121341699	0.0431992802818274	17	Annual	IC4ER+	ER+ Typical
0.0361237712143767	0.0340757091550013	0.038171833273752	18	Annual	IC4ER+	ER+ Typical
