Sample	Arc1	Arc2	Arc3	ENiClust	Subgroup
CURTIS_H004033_T01_01_WG01	0.326247569445486	0.287110252739654	0.386642177814859	ic3/ic7	ER+ Typical
CURTIS_H004034_T01_01_WG01	0.234304086373029	0.583692847546535	0.182003066080436	ic8	ER+ Typical
CURTIS_H004035_T01_01_WG01	0.0292370627156366	0.826806406073253	0.143956531211111	ic3/ic7	ER+ Typical
CURTIS_H004036_T01_01_WG01	0.323085817361208	0.385299491272529	0.291614691366262	ic3/ic7	ER+ Typical
CURTIS_H004037_T01_01_WG01	0.678751191438311	0	0.321248808561689	ic3/ic7	ER+ Typical
CURTIS_H004038_T01_01_WG01	0.111468363549455	0.528337262896571	0.360194373553974	ic3/ic7	ER+ Typical
CURTIS_H004039_T01_01_WG01	0.689523755340824	0.0603208795076941	0.250155365151482	ic3/ic7	ER+ Typical
CURTIS_H004040_T01_01_WG01	0.211815439832831	0.151167802157908	0.637016758009261	ic3/ic7	ER+ Typical
CURTIS_H004041_T01_01_WG01	0.715637397146029	0	0.284362602853971	ic10	IC10
CURTIS_H004042_T01_01_WG01	0.515441502856597	0.0835361519562512	0.401022345187152	ic4	ER+ Typical
CURTIS_H004043_T01_01_WG01	0.459250766464155	0.218559036525111	0.322190197010734	ic8	ER+ Typical
CURTIS_H004044_T01_01_WG01	0.682862655735501	0	0.317137344264499	ic3/ic7	ER+ Typical
CURTIS_H004045_T01_01_WG01	0.434927626289907	0.38384008030083	0.181232293409263	ic3/ic7	ER+ Typical
CURTIS_H004046_T01_01_WG01	0.427971057737278	0.109437476925655	0.462591465337067	ic5	HER2+
CURTIS_H004048_T01_01_WG01	0.514088169138026	0.00673830064742696	0.479173530214547	ic10	IC10
CURTIS_H004049_T01_01_WG01	0.531635955773305	0.334369436757845	0.13399460746885	ic3/ic7	ER+ Typical
CURTIS_H004050_T01_01_WG01	0.258316683535413	0.0146116314658695	0.727071684998717	ic9	ER+ High
CURTIS_H004051_T01_01_WG01	0.613479752052406	0.0482698775408184	0.338250370406776	ic10	IC10
CURTIS_H004052_T01_01_WG01	0	0.308320784422535	0.691679215577465	ic4	ER+ Typical
CURTIS_H004053_T01_01_WG01	0.181637050935319	0.425775446328083	0.392587502736598	ic3/ic7	ER+ Typical
CURTIS_H004054_T01_01_WG01	0.667102396975616	0	0.332897603024384	ic10	IC10
CURTIS_H004055_T01_01_WG01	0.174307376972277	0.132112395280278	0.693580227747445	ic4	ER+ Typical
CURTIS_H004056_T01_01_WG01	0.793663097674879	0.0725248363043613	0.13381206602076	ic3/ic7	ER+ Typical
CURTIS_H004057_T01_01_WG01	0.366749599852785	0.356565383187415	0.2766850169598	ic3/ic7	ER+ Typical
CURTIS_H004058_T02_01_WG01	0.379562741752563	0.00953542389808861	0.610901834349348	ic3/ic7	ER+ Typical
