Sample,group,name,value
CURTIS_H001584_T01_01_WG01,IC4ER-,fraction_loh,0.043
CURTIS_H001584_T01_01_WG01,IC4ER-,SV_dama,115
CURTIS_H001587_T01_01_WG01,IC10,fraction_cna,0.76
CURTIS_H001587_T01_01_WG01,IC10,fraction_loh,0.17
CURTIS_H001587_T01_01_WG01,IC10,SV_dama,128
CURTIS_H001592_T01_01_WG01,IC10,fraction_cna,0.81
CURTIS_H001592_T01_01_WG01,IC10,fraction_loh,0.099
CURTIS_H001592_T01_01_WG01,IC10,SV_dama,127
CURTIS_H001594_T01_01_WG01,IC4ER-,fraction_cna,0.65
CURTIS_H001594_T01_01_WG01,IC4ER-,fraction_loh,0.36
CURTIS_H001594_T01_01_WG01,IC4ER-,SV_dama,50
CURTIS_H001597_T01_01_WG01,IC10,fraction_cna,0.88
CURTIS_H001597_T01_01_WG01,IC10,fraction_loh,0.14
CURTIS_H001597_T01_01_WG01,IC10,SV_dama,187
CURTIS_H001598_T01_01_WG01,IC10,fraction_cna,0.89
CURTIS_H001598_T01_01_WG01,IC10,fraction_loh,0.051
CURTIS_H001598_T01_01_WG01,IC10,SV_dama,146
CURTIS_H001599_T01_01_WG01,IC10,fraction_cna,0.64
CURTIS_H001599_T01_01_WG01,IC10,fraction_loh,0.39
CURTIS_H001599_T01_01_WG01,IC10,SV_dama,6
CURTIS_H001600_T01_01_WG01,IC10,fraction_cna,0.81
CURTIS_H001600_T01_01_WG01,IC10,fraction_loh,0.15
CURTIS_H001600_T01_01_WG01,IC10,SV_dama,86
CURTIS_H001601_T01_01_WG01,IC10,fraction_cna,0.82
CURTIS_H001601_T01_01_WG01,IC10,fraction_loh,0.069
CURTIS_H001601_T01_01_WG01,IC10,SV_dama,182
CURTIS_H001602_T01_01_WG01,IC10,fraction_cna,0.72
CURTIS_H001602_T01_01_WG01,IC10,fraction_loh,0.28
CURTIS_H001602_T01_01_WG01,IC10,SV_dama,190
CURTIS_H001603_T01_01_WG01,IC4ER-,fraction_cna,0.071
CURTIS_H001603_T01_01_WG01,IC4ER-,fraction_loh,0.0053
CURTIS_H001603_T01_01_WG01,IC4ER-,SV_dama,13
CURTIS_H001605_T01_01_WG01,IC10,fraction_cna,0.73
CURTIS_H001605_T01_01_WG01,IC10,fraction_loh,0.15
CURTIS_H001605_T01_01_WG01,IC10,SV_dama,257
CURTIS_H001606_T01_01_WG01,IC10,fraction_cna,0.97
CURTIS_H001606_T01_01_WG01,IC10,fraction_loh,0.29
CURTIS_H001606_T01_01_WG01,IC10,SV_dama,125
CURTIS_H001607_T01_01_WG01,IC10,fraction_cna,0.61
CURTIS_H001607_T01_01_WG01,IC10,fraction_loh,0.3
CURTIS_H001607_T01_01_WG01,IC10,SV_dama,144
CURTIS_H001608_T01_01_WG01,IC10,fraction_cna,0.97
CURTIS_H001608_T01_01_WG01,IC10,fraction_loh,0.39
CURTIS_H001608_T01_01_WG01,IC10,SV_dama,8
CURTIS_H001609_T01_01_WG01,IC10,fraction_cna,0.83
CURTIS_H001609_T01_01_WG01,IC10,fraction_loh,0.22
CURTIS_H001609_T01_01_WG01,IC10,SV_dama,155
CURTIS_H001610_T01_01_WG01,IC10,fraction_cna,0.65
CURTIS_H001610_T01_01_WG01,IC10,fraction_loh,0.36
CURTIS_H001610_T01_01_WG01,IC10,SV_dama,98
CURTIS_H001612_T01_01_WG01,IC10,fraction_cna,0.82
