Sample,group,name,value
CURTIS_H000579_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H000579_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000579_T01_01_WG01,IC10,cell_cycle,TRUE
CURTIS_H000580_T01_01_WG01,IC4ER-,ddr,TRUE
CURTIS_H000580_T01_01_WG01,IC4ER-,ubi,FALSE
CURTIS_H000580_T01_01_WG01,IC4ER-,cell_cycle,FALSE
CURTIS_H000581_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000581_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000581_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000582_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000582_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000582_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000583_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H000583_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000583_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000586_T01_01_WG01,IC4ER-,ddr,TRUE
CURTIS_H000586_T01_01_WG01,IC4ER-,ubi,FALSE
CURTIS_H000586_T01_01_WG01,IC4ER-,cell_cycle,FALSE
CURTIS_H000588_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000588_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000588_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000589_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000589_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000589_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000590_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H000590_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000590_T01_01_WG01,IC10,cell_cycle,TRUE
CURTIS_H000724_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H000724_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000724_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000730_T01_01_WG01,IC4ER-,ddr,FALSE
CURTIS_H000730_T01_01_WG01,IC4ER-,ubi,FALSE
CURTIS_H000730_T01_01_WG01,IC4ER-,cell_cycle,FALSE
CURTIS_H000779_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H000779_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000779_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000782_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H000782_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000782_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H000793_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H000793_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H000793_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001390_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H001390_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001390_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001544_T01_01_WG01,IC4ER-,ddr,TRUE
CURTIS_H001544_T01_01_WG01,IC4ER-,ubi,FALSE
CURTIS_H001544_T01_01_WG01,IC4ER-,cell_cycle,FALSE
CURTIS_H001548_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H001548_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001548_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001578_T01_01_WG01,IC4ER-,ddr,FALSE
CURTIS_H001578_T01_01_WG01,IC4ER-,ubi,FALSE
CURTIS_H001578_T01_01_WG01,IC4ER-,cell_cycle,FALSE
CURTIS_H001580_T01_01_WG01,IC10,ddr,TRUE
CURTIS_H001580_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001580_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001582_T01_01_WG01,IC10,ddr,FALSE
CURTIS_H001582_T01_01_WG01,IC10,ubi,FALSE
CURTIS_H001582_T01_01_WG01,IC10,cell_cycle,FALSE
CURTIS_H001584_T01_01_WG01,IC4ER-,ddr,FALSE
CURTIS_H001584_T01_01_WG01,IC4ER-,ubi,FALSE
CURTIS_H001584_T01_01_WG01,IC4ER-,cell_cycle,FALSE
