sample	ampliconID	Freq	width	FreqNorm	tf	type	group
CURTIS_H004297_T01_01_WG01	amplicon1	99	5321512	18.6037351790243	ESR1	cyclic	ESR1_cyclic
CURTIS_H004389_T01_01_WG01	amplicon1	57	10110969	5.63744187129839	ESR1	cyclic	ESR1_cyclic
CURTIS_H004482_T01_01_WG01	amplicon1	139	16953577	8.19885974505557	ESR1	cyclic	ESR1_cyclic
CURTIS_H004514_T01_01_WG01	amplicon1	157	11854715	13.2436756176762	ESR1	cyclic	ESR1_cyclic
CURTIS_H000412_T01_01_WG01	amplicon2	483	33516483	14.4108198941995	ESR1	cyclic	ESR1_cyclic
CURTIS_H000472_T01_01_WG01	amplicon2	147	13502354	10.8869905203196	ESR1	cyclic	ESR1_cyclic
CURTIS_H000477_T01_01_WG01	amplicon2	232	20089748	11.5481787028887	ESR1	cyclic	ESR1_cyclic
CURTIS_H000505_T01_01_WG01	amplicon2	121	11155901	10.8462776785129	ESR1	cyclic	ESR1_cyclic
CURTIS_H000530_T01_01_WG01	amplicon2	51	6346278	8.03620641894351	ESR1	cyclic	ESR1_cyclic
CURTIS_H000535_T01_01_WG01	amplicon2	86	12448273	6.90858884601904	ESR1	cyclic	ESR1_cyclic
CURTIS_H000558_T01_01_WG01	amplicon2	10	1769804	5.65034320184608	ESR1	cyclic	ESR1_cyclic
CURTIS_H000587_T01_01_WG01	amplicon2	34	7764407	4.37895643543673	ESR1	cyclic	ESR1_cyclic
CURTIS_H000593_T01_01_WG01	amplicon2	198	32110676	6.16617351811591	ESR1	cyclic	ESR1_cyclic
CURTIS_H001394_T01_01_WG01	amplicon2	71	6443453	11.0189365857096	ESR1	cyclic	ESR1_cyclic
CURTIS_H001395_T01_01_WG01	amplicon2	70	3887697	18.0055184341784	ESR1	cyclic	ESR1_cyclic
CURTIS_H001466_T01_01_WG01	amplicon2	21	2797925	7.50556215767042	ESR1	cyclic	ESR1_cyclic
CURTIS_H001467_T01_01_WG01	amplicon2	47	3833502	12.2603301106925	ESR1	cyclic	ESR1_cyclic
CURTIS_H001483_T01_01_WG01	amplicon2	13	3508768	3.70500414960465	ESR1	cyclic	ESR1_cyclic
CURTIS_H001510_T01_01_WG01	amplicon2	629	52278623	12.031686450502	ESR1	cyclic	ESR1_cyclic
CURTIS_H001519_T01_01_WG01	amplicon2	94	7457933	12.6040284888588	ESR1	cyclic	ESR1_cyclic
CURTIS_H001545_T01_01_WG01	amplicon2	206	19922584	10.34002416554	ESR1	cyclic	ESR1_cyclic
CURTIS_H001581_T01_01_WG01	amplicon2	118	28703065	4.11105921963386	ESR1	cyclic	ESR1_cyclic
CURTIS_H001637_T01_01_WG01	amplicon2	420	44631595	9.41037397386313	ESR1	cyclic	ESR1_cyclic
CURTIS_H001678_T01_01_WG01	amplicon2	71	6330301	11.2158963689088	ESR1	cyclic	ESR1_cyclic
CURTIS_H001682_T01_01_WG01	amplicon2	26	1205452	21.5686729956896	ESR1	cyclic	ESR1_cyclic
CURTIS_H001698_T01_01_WG01	amplicon2	64	2373447	26.9650006930848	ESR1	cyclic	ESR1_cyclic
CURTIS_H001717_T01_01_WG01	amplicon2	31	2902801	10.6793404025974	ESR1	cyclic	ESR1_cyclic
CURTIS_H001728_T01_01_WG01	amplicon2	59	11131345	5.30034780163583	ESR1	cyclic	ESR1_cyclic
CURTIS_H002084_T01_01_WG01	amplicon2	59	3109400	18.9747218112819	ESR1	cyclic	ESR1_cyclic
CURTIS_H004188_T01_01_WG01	amplicon2	27	1178220	22.9159240209808	ESR1	cyclic	ESR1_cyclic
CURTIS_H004303_T01_01_WG01	amplicon2	21	2630981	7.98181362769248	ESR1	cyclic	ESR1_cyclic
CURTIS_H004304_T01_01_WG01	amplicon2	92	11430378	8.04872769736924	ESR1	cyclic	ESR1_cyclic
CURTIS_H004369_T01_01_WG01	amplicon2	157	13450925	11.6720597282343	ESR1	cyclic	ESR1_cyclic
