"ER_early_sig"	"index"	"stage_code"	"Stage"	"group"
0.439763055621112	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.297894804352705	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.0449702160134006	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.0362402187852896	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.201694494725966	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.104532335289111	"ER+ Typicala"	"a"	"Primary"	"ER+ Typical"
0.0387470875685907	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.103764273434312	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.29535492858823	"ER+ Typicala"	"a"	"Primary"	"ER+ Typical"
0.261652030922536	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.02266218770243	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.166973265446998	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.55716408612079	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.410384488959404	"ER+ Higha"	"a"	"Primary"	"ER+ High"
-0.300306633838741	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.159358977902421	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.365874650569205	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.0261478404931539	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.0846743723664916	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.339160991275682	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.493309847011738	"HER2+b"	"b"	"Metastatic"	"HER2+"
-0.0436011428766143	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.0264335166379736	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.0574687447390034	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.32674570444064	"HER2+b"	"b"	"Metastatic"	"HER2+"
0.0558725401887015	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.116262974558218	"HER2+b"	"b"	"Metastatic"	"HER2+"
0.0210600025976166	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.156094777642581	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.167493407609035	"HER2+b"	"b"	"Metastatic"	"HER2+"
0.346125739587426	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.0269394713529135	"ER+ Higha"	"a"	"Primary"	"ER+ High"
-0.0232339159756278	"ER+ Typicala"	"a"	"Primary"	"ER+ Typical"
0.00524991039135536	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.126682902555038	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.172712394720567	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.42652542337194	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.180348372062589	"ER+ Higha"	"a"	"Primary"	"ER+ High"
0.216028187246617	"HER2+b"	"b"	"Metastatic"	"HER2+"
-0.012195855584615	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.329436320566872	"HER2+a"	"a"	"Primary"	"HER2+"
0.0667390919331685	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.237847707613509	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.0824683949118774	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.169861114471716	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.458967410694006	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.134829316452285	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.10891952397873	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.26246690087675	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.392070780925355	"HER2+b"	"b"	"Metastatic"	"HER2+"
0.293130666334272	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.00995875441584415	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.222046797021826	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.327751102805737	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.193087567891701	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.10442306409538	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.270801240732382	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.0869055188541151	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.127546227618996	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.281038885083823	"ER+ Typicala"	"a"	"Primary"	"ER+ Typical"
-0.0474667892938704	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.307271355417764	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.342349642436047	"ER+ Typicala"	"a"	"Primary"	"ER+ Typical"
-0.26622162168573	"HER2+b"	"b"	"Metastatic"	"HER2+"
0.206487892627473	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.290878718819524	"HER2+b"	"b"	"Metastatic"	"HER2+"
-0.0685318527098815	"HER2+b"	"b"	"Metastatic"	"HER2+"
0.257068754213452	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.275800124357862	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.317936298379964	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.272449060313978	"ER+ Typicala"	"a"	"Primary"	"ER+ Typical"
-0.223779379944875	"HER2+b"	"b"	"Metastatic"	"HER2+"
0.0846781611546521	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.0929890387582212	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.306236077307739	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.155634666815303	"ER+ Typicala"	"a"	"Primary"	"ER+ Typical"
-0.110191967761526	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.181665146521639	"ER+ Typicala"	"a"	"Primary"	"ER+ Typical"
-0.28676030334594	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.240598912529941	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
-0.191119335673854	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.471312998008331	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.376268920600983	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.0289331151855468	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.456658045766486	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.00695791572943416	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.0293159039023444	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.128678598759781	"ER+ Typicala"	"a"	"Primary"	"ER+ Typical"
0.135024161606762	"HER2+a"	"a"	"Primary"	"HER2+"
0.0126456398284094	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.185481676933601	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
-0.0290644734780689	"ER+ Highb"	"b"	"Metastatic"	"ER+ High"
0.311865951885407	"ER+ Typicalb"	"b"	"Metastatic"	"ER+ Typical"
0.167855461285141	"ER+ Higha"	"a"	"Primary"	"ER+ High"
