Samples	SV32A	SV32B	SV32C	SV32D	SV32E	SV32F
CURTIS_H004427_T01_01_WG01	27	5	8	3	0	3
CURTIS_H000412_T01_01_WG01	147	0	190	5	0	0
CURTIS_H000388_T01_01_WG01	0	40	0	80	0	50
CURTIS_H000384_T01_01_WG01	0	2	0	53	183	74
CURTIS_H004744_T01_01_WG01	54	83	12	0	0	59
CURTIS_H004079_T01_01_WG01	131	35	20	5	2	27
CURTIS_H000535_T01_01_WG01	133	9	68	12	0	0
CURTIS_H000436_T01_01_WG01	3	4	11	1	0	3
CURTIS_H004143_T01_01_WG01	130	117	19	176	0	36
CURTIS_H004136_T01_01_WG01	150	161	73	20	53	81
CURTIS_H004028_T01_01_WG01	29	11	1	0	0	0
CURTIS_H004158_T01_01_WG01	292	39	154	55	6	22
CURTIS_H002099_T01_01_WG01	0	93	0	17	205	169
CURTIS_H004457_T01_01_WG01	6	80	2	98	3	9
CURTIS_H004535_T01_01_WG01	24	27	3	23	1	0
CURTIS_H002079_T01_01_WG01	1	107	128	15	0	12
CURTIS_H000472_T01_01_WG01	52	26	37	13	0	6
CURTIS_H001605_T01_01_WG01	0	113	4	98	138	11
CURTIS_H001509_T01_01_WG01	64	8	1	4	0	0
CURTIS_H004498_T01_01_WG01	282	125	220	24	2	26
CURTIS_H000482_T01_01_WG01	28	134	8	18	4	12
CURTIS_H000431_T01_01_WG01	2	2	0	1	0	0
CURTIS_H004038_T01_01_WG01	114	41	30	18	0	12
CURTIS_H001673_T01_01_WG01	334	58	303	6	7	1
CURTIS_H004633_T01_01_WG01	30	53	38	45	0	4
CURTIS_H004031_T01_01_WG01	130	84	95	19	1	44
CURTIS_H004008_T02_01_WG01	140	95	39	20	0	42
CURTIS_H001716_T01_01_WG01	196	114	59	60	106	23
CURTIS_H004541_T01_01_WG01	0	4	0	14	0	5
CURTIS_H004759_T01_01_WG01	32	136	50	1	0	34
CURTIS_H004226_T01_01_WG01	105	11	86	64	4	13
CURTIS_H004200_T01_01_WG01	13	85	19	88	8	5
CURTIS_H004229_T01_01_WG01	140	145	69	8	4	15
CURTIS_H000483_T01_01_WG01	7	50	0	0	2	0
CURTIS_H000454_T01_01_WG01	154	25	310	6	0	2
CURTIS_H001522_T01_01_WG01	9	7	18	3	0	0
CURTIS_H004006_T01_01_WG01	172	0	18	56	77	49
CURTIS_H004762_T01_01_WG01	139	189	9	38	0	488
CURTIS_H001418_T01_01_WG01	10	2	45	4	1	0
CURTIS_H004065_T01_01_WG01	0	3	0	16	4	0
CURTIS_H004403_T01_01_WG01	211	13	43	2	0	6
CURTIS_H004484_T01_01_WG01	56	24	38	4	0	0
CURTIS_H001648_T01_01_WG01	68	19	2	15	8	7
CURTIS_H004020_T01_01_WG01	131	43	56	19	3	2
CURTIS_H004617_T01_01_WG01	0	269	58	253	21	18
CURTIS_H002032_T01_01_WG01	0	98	1	47	206	47
CURTIS_H004197_T01_01_WG01	174	134	108	78	18	31
CURTIS_H004248_T01_01_WG01	2	5	0	4	0	2
CURTIS_H004007_T01_01_WG01	169	149	249	17	7	5
CURTIS_H004742_T01_01_WG01	86	17	31	14	6	5
CURTIS_H002043_T01_01_WG01	0	16	0	86	92	2
CURTIS_H004159_T02_01_WG01	100	62	14	8	1	3
CURTIS_H004140_T01_01_WG01	69	47	69	31	0	16
CURTIS_H004274_T01_01_WG01	0	32	0	0	1	13
CURTIS_H000399_T01_01_WG01	72	93	9	53	145	56
CURTIS_H004683_T01_01_WG01	42	7	32	5	0	7
CURTIS_H004533_T01_01_WG01	134	71	20	54	0	11
CURTIS_H000473_T01_01_WG01	14	0	5	1	1	0
CURTIS_H000533_T01_01_WG01	71	22	46	49	19	21
CURTIS_H004662_T01_01_WG01	4	18	14	21	0	5
CURTIS_H004755_T01_01_WG01	13	302	226	144	0	42
CURTIS_H004648_T01_01_WG01	61	82	25	32	3	18
CURTIS_H004487_T01_01_WG01	2	36	3	0	3	9
CURTIS_H002082_T01_01_WG01	0	42	0	79	0	0
CURTIS_H004693_T01_01_WG01	216	106	352	25	0	13
CURTIS_H001637_T01_01_WG01	281	20	78	19	0	2
CURTIS_H004119_T01_01_WG01	0	216	5	389	81	3
CURTIS_H001417_T01_01_WG01	233	26	81	21	0	1
CURTIS_H004077_T01_01_WG01	10	48	18	16	0	19
CURTIS_H001700_T01_01_WG01	151	56	93	6	2	13
CURTIS_H004400_T01_01_WG01	19	46	18	29	3	26
CURTIS_H004453_T01_01_WG01	0	0	0	51	369	82
CURTIS_H002070_T01_01_WG01	34	25	2	17	1	0
CURTIS_H004525_T01_01_WG01	203	51	51	37	0	14
CURTIS_H001650_T01_01_WG01	39	14	0	4	0	4
CURTIS_H001573_T01_01_WG01	0	2	0	0	0	0
CURTIS_H000518_T01_01_WG01	28	0	45	40	0	3
CURTIS_H004337_T01_01_WG01	42	79	41	17	0	58
CURTIS_H001532_T01_01_WG01	8	17	9	5	0	1
CURTIS_H002060_T01_01_WG01	8	114	1	34	219	69
CURTIS_H004419_T01_01_WG01	1	0	9	76	678	217
CURTIS_H002053_T01_01_WG01	60	21	7	41	24	97
CURTIS_H001565_T01_01_WG01	8	4	6	0	0	0
CURTIS_H004432_T01_01_WG01	20	71	34	14	2	3
CURTIS_H001626_T01_01_WG01	22	53	29	11	0	5
CURTIS_H004477_T01_01_WG01	61	27	90	18	5	9
CURTIS_H004570_T01_01_WG01	15	17	0	3	0	0
CURTIS_H001457_T01_01_WG01	36	4	11	3	0	1
CURTIS_H004228_T01_01_WG01	42	107	61	38	9	41
CURTIS_H001641_T01_01_WG01	16	13	0	5	0	1
CURTIS_H004292_T01_01_WG01	5	9	0	0	1	0
CURTIS_H004363_T01_01_WG01	0	34	0	3	0	0
CURTIS_H001397_T01_01_WG01	8	9	2	0	0	3
CURTIS_H004586_T01_01_WG01	89	25	10	1	1	4
CURTIS_H004689_T01_01_WG01	22	4	0	3	0	3
CURTIS_H000576_T01_01_WG01	0	33	0	3	409	1
CURTIS_H004719_T01_01_WG01	45	36	100	19	0	4
CURTIS_H004056_T02_01_WG01	0	3	0	6	2	9
CURTIS_H001413_T01_01_WG01	0	8	0	8	0	10
CURTIS_H001514_T01_01_WG01	0	3	0	0	0	0
CURTIS_H001530_T01_01_WG01	13	4	14	0	0	0
CURTIS_H004567_T01_01_WG01	8	30	2	17	5	41
CURTIS_H000402_T01_01_WG01	10	1	12	5	0	0
CURTIS_H004591_T01_01_WG01	123	27	4	17	0	10
CURTIS_H004231_T01_01_WG01	90	93	1	5	1	6
CURTIS_H004715_T01_01_WG01	5	66	30	93	7	79
CURTIS_H004206_T01_01_WG01	436	38	0	0	0	22
CURTIS_H000570_T01_01_WG01	40	54	21	19	1	25
CURTIS_H004739_T01_01_WG01	68	26	62	14	0	60
CURTIS_H004671_T01_01_WG01	24	45	49	29	0	7
CURTIS_H002042_T01_01_WG01	8	15	0	6	0	5
CURTIS_H000504_T01_01_WG01	12	19	0	34	3	9
CURTIS_H000565_T01_01_WG01	91	23	0	29	9	8
CURTIS_H002034_T01_01_WG01	2	17	0	4	89	12
CURTIS_H001427_T01_01_WG01	29	13	33	4	0	4
CURTIS_H004505_T01_01_WG01	0	41	0	192	4	3
CURTIS_H004455_T01_01_WG01	288	143	72	1	0	11
CURTIS_H002061_T01_01_WG01	0	73	1	42	128	73
CURTIS_H004238_T01_01_WG01	24	17	12	9	4	0
CURTIS_H001561_T01_01_WG01	0	39	1	36	0	1
CURTIS_H004464_T01_01_WG01	36	157	41	8	3	29
CURTIS_H004354_T01_01_WG01	0	63	4	169	0	173
CURTIS_H004575_T01_01_WG01	56	29	16	16	3	0
CURTIS_H004661_T01_01_WG01	215	37	52	25	11	5
CURTIS_H001512_T01_01_WG01	2	55	4	0	2	0
CURTIS_H004423_T04_01_WG01	50	113	24	32	0	7
CURTIS_H002062_T01_01_WG01	0	182	2	56	231	14
CURTIS_H001752_T01_01_WG01	22	3	11	1	0	0
CURTIS_H004096_T01_01_WG01	31	6	2	13	0	0
CURTIS_H004342_T01_01_WG01	0	2	21	8	0	1
CURTIS_H000793_T01_01_WG01	6	0	1	22	3	94
CURTIS_H001741_T01_01_WG01	19	8	12	4	2	1
CURTIS_H004409_T01_01_WG01	0	146	5	219	12	20
CURTIS_H001649_T01_01_WG01	41	13	13	11	0	13
CURTIS_H004178_T01_01_WG01	28	115	43	35	8	13
CURTIS_H000505_T01_01_WG01	90	82	51	10	1	4
CURTIS_H004130_T01_01_WG01	163	30	66	6	0	15
CURTIS_H000526_T01_01_WG01	21	0	10	7	1	2
CURTIS_H004149_T01_01_WG01	0	59	14	205	7	8
CURTIS_H004512_T01_01_WG01	238	50	15	0	1	6
CURTIS_H001725_T01_01_WG01	0	29	0	0	0	11
CURTIS_H004293_T01_01_WG01	65	21	69	11	7	29
CURTIS_H000447_T01_01_WG01	0	0	0	0	1	0
CURTIS_H000389_T01_01_WG01	11	74	2	100	6	0
CURTIS_H004588_T01_01_WG01	74	206	77	282	0	88
CURTIS_H004019_T01_01_WG01	59	23	27	0	0	0
CURTIS_H001690_T01_01_WG01	108	90	244	21	4	15
CURTIS_H004345_T01_01_WG01	229	24	216	53	0	129
CURTIS_H000589_T01_01_WG01	0	113	0	30	268	0
CURTIS_H004109_T02_01_WG01	18	45	0	0	0	7
CURTIS_H000423_T01_01_WG01	1	0	0	8	3	2
CURTIS_H004092_T02_01_WG01	182	81	69	17	0	14
CURTIS_H001450_T01_01_WG01	0	4	0	7	0	0
CURTIS_H004681_T01_01_WG01	96	1	38	8	0	5
CURTIS_H004235_T01_01_WG01	11	68	2	12	2	2
CURTIS_H004357_T01_01_WG01	31	26	0	8	0	4
CURTIS_H004138_T01_01_WG01	75	82	70	0	2	6
CURTIS_H004424_T01_01_WG01	32	27	11	24	0	19
CURTIS_H001403_T01_01_WG01	65	8	32	6	1	5
CURTIS_H004647_T01_01_WG01	1	3	0	16	0	5
CURTIS_H004602_T01_01_WG01	327	89	274	19	3	19
CURTIS_H002086_T01_01_WG01	0	84	7	39	222	64
CURTIS_H004058_T02_01_WG01	117	38	25	18	18	10
CURTIS_H004589_T01_01_WG01	12	47	3	36	3	12
CURTIS_H004454_T01_01_WG01	88	139	82	99	0	149
CURTIS_H001456_T01_01_WG01	0	5	0	2	0	0
CURTIS_H001594_T01_01_WG01	0	0	0	61	1	18
CURTIS_H001706_T01_01_WG01	7	12	0	1	0	23
CURTIS_H004605_T01_01_WG01	114	36	16	0	1	0
CURTIS_H004072_T01_01_WG01	12	59	0	27	0	23
