donor	sample	myc_cn	myc_rna
CURTIS_H004226	CURTIS_H004226_T01_01_WG01	4	8.59083724985035
CURTIS_H004227	CURTIS_H004227_T01_01_WG01	6	12.0519820949967
CURTIS_H004228	CURTIS_H004228_T01_01_WG01	11	13.6088767712946
CURTIS_H004229	CURTIS_H004229_T01_01_WG01	3	8.13370119839935
CURTIS_H004230	CURTIS_H004230_T01_01_WG01	6	7.86505932390835
CURTIS_H004231	CURTIS_H004231_T01_01_WG01	4	11.2398009378923
CURTIS_H004232	CURTIS_H004232_T01_01_WG01	15	9.22732137052282
CURTIS_H004233	CURTIS_H004233_T01_01_WG01	4	9.1768569690874
CURTIS_H004236	CURTIS_H004236_T01_01_WG01	5	9.85690026490668
CURTIS_H004238	CURTIS_H004238_T01_01_WG01	5	8.91043323915115
CURTIS_H004239	CURTIS_H004239_T01_01_WG01	3	8.20914229270145
CURTIS_H004240	CURTIS_H004240_T01_01_WG01	8	10.2139732126847
CURTIS_H004241	CURTIS_H004241_T01_01_WG01	2	8.55240556363509
CURTIS_H004242	CURTIS_H004242_T01_01_WG01	7	12.5982189671676
CURTIS_H004243	CURTIS_H004243_T01_01_WG01	5	9.39477952837747
CURTIS_H004244	CURTIS_H004244_T02_01_WG01	16	9.55232365922195
CURTIS_H004245	CURTIS_H004245_T01_01_WG01	16	10.5313764297895
CURTIS_H004247	CURTIS_H004247_T01_01_WG01	8	9.99160452489553
CURTIS_H004248	CURTIS_H004248_T01_01_WG01	41	11.9577784288865
CURTIS_H004249	CURTIS_H004249_T01_01_WG01	6	12.3507741063376
CURTIS_H004250	CURTIS_H004250_T01_01_WG01	5	9.3776711428714
CURTIS_H004252	CURTIS_H004252_T01_01_WG01	4	8.44997499782963
CURTIS_H004253	CURTIS_H004253_T01_01_WG01	3	10.190270350825
CURTIS_H004255	CURTIS_H004255_T01_01_WG01	2	8.51178319657773
CURTIS_H004256	CURTIS_H004256_T01_01_WG01	20	11.7381292777452
CURTIS_H004258	CURTIS_H004258_T01_01_WG01	4	8.91729990707225
CURTIS_H004259	CURTIS_H004259_T01_01_WG01	6	8.78553549137899
CURTIS_H004260	CURTIS_H004260_T01_01_WG01	5	9.09257935163056
CURTIS_H004261	CURTIS_H004261_T01_01_WG01	2	12.3917556290995
CURTIS_H004262	CURTIS_H004262_T01_01_WG01	3	9.48177269553849
CURTIS_H004263	CURTIS_H004263_T01_01_WG01	1	8.1950876977133
CURTIS_H004264	CURTIS_H004264_T01_01_WG01	3	10.6333989406599
CURTIS_H004266	CURTIS_H004266_T01_01_WG01	6	7.69302803655803
CURTIS_H004267	CURTIS_H004267_T01_01_WG01	4	9.4380346754328
CURTIS_H004268	CURTIS_H004268_T01_01_WG01	7	10.166312692418
CURTIS_H004269	CURTIS_H004269_T01_01_WG01	5	10.6431213674168
CURTIS_H004271	CURTIS_H004271_T01_01_WG01	8	10.2140580239774
CURTIS_H004272	CURTIS_H004272_T01_01_WG01	3	8.40187086887864
CURTIS_H004273	CURTIS_H004273_T01_01_WG01	1	8.71610593263894
CURTIS_H004274	CURTIS_H004274_T01_01_WG01	17	10.249968312915
CURTIS_H004275	CURTIS_H004275_T01_01_WG01	5	11.116274648157
CURTIS_H004276	CURTIS_H004276_T01_01_WG01	3	10.9401280859115
CURTIS_H004277	CURTIS_H004277_T01_01_WG01	6	13.3288269739108
CURTIS_H004279	CURTIS_H004279_T01_01_WG01	2	10.6523983250999
CURTIS_H004280	CURTIS_H004280_T01_01_WG01	2	7.40077230775739
CURTIS_H004282	CURTIS_H004282_T01_01_WG01	10	10.6113195481336
CURTIS_H004283	CURTIS_H004283_T01_01_WG01	5	9.43781267169194
CURTIS_H004284	CURTIS_H004284_T01_01_WG01	4	11.4459916924235
CURTIS_H004285	CURTIS_H004285_T01_01_WG01	6	9.20994570152976
CURTIS_H004286	CURTIS_H004286_T01_01_WG01	6	10.0022634430818
CURTIS_H004288	CURTIS_H004288_T01_01_WG01	3	11.4288930155515
CURTIS_H004290	CURTIS_H004290_T01_01_WG01	3	11.3037487886999
CURTIS_H004291	CURTIS_H004291_T01_01_WG01	8	9.56164229465074
CURTIS_H004292	CURTIS_H004292_T01_01_WG01	5	11.1368943809391
CURTIS_H004293	CURTIS_H004293_T01_01_WG01	11	11.2838029302157
CURTIS_H004294	CURTIS_H004294_T01_01_WG01	4	8.77524295306942
CURTIS_H004295	CURTIS_H004295_T01_01_WG01	4	11.7151208198239
CURTIS_H004296	CURTIS_H004296_T01_01_WG01	14	13.8106031847597
CURTIS_H004298	CURTIS_H004298_T01_01_WG01	7	10.7351487165634
CURTIS_H004299	CURTIS_H004299_T01_01_WG01	6	11.8900088226084
CURTIS_H004300	CURTIS_H004300_T01_01_WG01	6	8.09407510024732
CURTIS_H004301	CURTIS_H004301_T01_01_WG01	3	7.86418355231818
CURTIS_H004302	CURTIS_H004302_T01_01_WG01	2	10.1152977989917
CURTIS_H004305	CURTIS_H004305_T01_01_WG01	12	8.3163471253418
CURTIS_H004306	CURTIS_H004306_T01_01_WG01	8	11.9494126283493
CURTIS_H004307	CURTIS_H004307_T01_01_WG01	14	12.5046339544432
CURTIS_H004308	CURTIS_H004308_T01_01_WG01	9	8.6356662452599
CURTIS_H004310	CURTIS_H004310_T01_01_WG01	3	9.95923429013885
CURTIS_H004311	CURTIS_H004311_T01_01_WG01	3	7.93982468606653
CURTIS_H004314	CURTIS_H004314_T01_01_WG01	36	8.40965769465406
CURTIS_H004315	CURTIS_H004315_T01_01_WG01	3	8.67621706695488
CURTIS_H004316	CURTIS_H004316_T01_01_WG01	3	9.48819942715107
CURTIS_H004317	CURTIS_H004317_T01_01_WG01	11	11.0352260564343
CURTIS_H004318	CURTIS_H004318_T01_01_WG01	7	12.4736035553492
CURTIS_H004319	CURTIS_H004319_T01_01_WG01	8	11.3841851657419
CURTIS_H004321	CURTIS_H004321_T01_01_WG01	6	11.1951891041339
CURTIS_H004322	CURTIS_H004322_T01_01_WG01	2	8.70954065078289
CURTIS_H004323	CURTIS_H004323_T01_01_WG01	6	9.43472376561008
CURTIS_H004325	CURTIS_H004325_T01_01_WG01	8	10.6550180127301
CURTIS_H004326	CURTIS_H004326_T01_01_WG01	5	9.95284836288332
CURTIS_H004328	CURTIS_H004328_T01_01_WG01	2	11.059836148237
CURTIS_H004329	CURTIS_H004329_T01_01_WG01	5	10.8503802059419
CURTIS_H004330	CURTIS_H004330_T01_01_WG01	39	11.2055686476973
CURTIS_H004331	CURTIS_H004331_T01_01_WG01	6	11.0751398291249
CURTIS_H004332	CURTIS_H004332_T01_01_WG01	7	9.20866243315859
CURTIS_H004334	CURTIS_H004334_T01_01_WG01	4	10.0268658021218
CURTIS_H004335	CURTIS_H004335_T01_01_WG01	8	7.54010112226287
CURTIS_H004336	CURTIS_H004336_T01_01_WG01	5	11.2983136916336
CURTIS_H004337	CURTIS_H004337_T01_01_WG01	6	9.90021665607731
CURTIS_H004338	CURTIS_H004338_T01_01_WG01	6	8.91134259242058
CURTIS_H004339	CURTIS_H004339_T01_01_WG01	5	8.61092754702907
CURTIS_H004340	CURTIS_H004340_T01_01_WG01	8	11.5946001885315
CURTIS_H004341	CURTIS_H004341_T01_01_WG01	5	9.00780852810628
CURTIS_H004342	CURTIS_H004342_T01_01_WG01	3	9.57371435900612
CURTIS_H004343	CURTIS_H004343_T01_01_WG01	2	7.69760887174765
CURTIS_H004344	CURTIS_H004344_T01_01_WG01	9	11.1576374320413
CURTIS_H004345	CURTIS_H004345_T01_01_WG01	10	10.7014890445667
CURTIS_H004346	CURTIS_H004346_T01_01_WG01	10	12.8570311678863
CURTIS_H004349	CURTIS_H004349_T01_01_WG01	4	10.1640659279381
CURTIS_H004350	CURTIS_H004350_T01_01_WG01	4	9.05794617800227
CURTIS_H004351	CURTIS_H004351_T01_01_WG01	3	8.59718222921504
CURTIS_H004352	CURTIS_H004352_T01_01_WG01	3	8.7372116877488
CURTIS_H004353	CURTIS_H004353_T01_01_WG01	3	9.24212112542483
CURTIS_H004354	CURTIS_H004354_T01_01_WG01	5	7.38057708950427
CURTIS_H004355	CURTIS_H004355_T01_01_WG01	17	11.5220827645554
CURTIS_H004356	CURTIS_H004356_T01_01_WG01	5	10.2784285007307
CURTIS_H004357	CURTIS_H004357_T01_01_WG01	2	7.34592040728496
CURTIS_H004358	CURTIS_H004358_T01_01_WG01	6	8.82112822730542
CURTIS_H004359	CURTIS_H004359_T01_01_WG01	3	7.2664466656794
CURTIS_H004360	CURTIS_H004360_T01_01_WG01	7	11.0006010440123
CURTIS_H004361	CURTIS_H004361_T01_01_WG01	4	9.90651520466812
CURTIS_H004362	CURTIS_H004362_T01_01_WG01	7	9.64293318855332
CURTIS_H004364	CURTIS_H004364_T01_01_WG01	5	9.06642814823161
CURTIS_H004365	CURTIS_H004365_T01_01_WG01	13	10.0498521959002
CURTIS_H004366	CURTIS_H004366_T01_01_WG01	11	11.5165342508698
CURTIS_H004368	CURTIS_H004368_T01_01_WG01	6	11.6487273669056
CURTIS_H004371	CURTIS_H004371_T01_01_WG01	3	7.74440519297617
CURTIS_H004372	CURTIS_H004372_T01_01_WG01	2	7.68995842128138
CURTIS_H004373	CURTIS_H004373_T01_01_WG01	6	11.104496705955
CURTIS_H004375	CURTIS_H004375_T01_01_WG01	6	10.9793806666483
CURTIS_H004376	CURTIS_H004376_T01_01_WG01	1	8.64912379874525
CURTIS_H004377	CURTIS_H004377_T01_01_WG01	5	11.0249703514533
CURTIS_H004380	CURTIS_H004380_T01_01_WG01	8	13.7866688970017
CURTIS_H004382	CURTIS_H004382_T01_01_WG01	3	9.89148829085231
CURTIS_H004383	CURTIS_H004383_T01_01_WG01	2	10.6101343123442
CURTIS_H004384	CURTIS_H004384_T01_01_WG01	4	11.290126298861
CURTIS_H004385	CURTIS_H004385_T01_01_WG01	3	9.49656618976144
CURTIS_H004387	CURTIS_H004387_T01_01_WG01	3	8.90072029571488
CURTIS_H004388	CURTIS_H004388_T01_01_WG01	20	10.5232486189248
CURTIS_H004390	CURTIS_H004390_T01_01_WG01	6	10.3323698952039
CURTIS_H004391	CURTIS_H004391_T01_01_WG01	4	8.41536066777047
CURTIS_H004394	CURTIS_H004394_T01_01_WG01	9	13.6291119538787
CURTIS_H004396	CURTIS_H004396_T01_01_WG01	12	8.64208404099685
CURTIS_H004397	CURTIS_H004397_T01_01_WG01	10	11.5754248789932
CURTIS_H004398	CURTIS_H004398_T01_01_WG01	4	9.29158489837939
CURTIS_H004399	CURTIS_H004399_T01_01_WG01	3	9.24649008479516
CURTIS_H004400	CURTIS_H004400_T01_01_WG01	9	10.6577027986617
CURTIS_H004401	CURTIS_H004401_T01_01_WG01	5	9.65618381195699
CURTIS_H004402	CURTIS_H004402_T01_01_WG01	7	10.0995811566226
CURTIS_H004403	CURTIS_H004403_T01_01_WG01	6	4.96684102817333
CURTIS_H004406	CURTIS_H004406_T01_01_WG01	6	5.7541718361953
CURTIS_H004407	CURTIS_H004407_T01_01_WG01	6	11.4645570547134
CURTIS_H004410	CURTIS_H004410_T01_01_WG01	4	9.37257720812899
CURTIS_H004411	CURTIS_H004411_T01_01_WG01	2	8.53287413116199
CURTIS_H004412	CURTIS_H004412_T01_01_WG01	8	4.96684102817333
CURTIS_H004413	CURTIS_H004413_T01_01_WG01	4	9.9684198886708
CURTIS_H004414	CURTIS_H004414_T01_01_WG01	47	11.2796127388404
CURTIS_H004415	CURTIS_H004415_T01_01_WG01	2	8.44220340777853
CURTIS_H004416	CURTIS_H004416_T01_01_WG01	2	7.26503580451508
CURTIS_H004418	CURTIS_H004418_T01_01_WG01	4	9.17624267899642
CURTIS_H004420	CURTIS_H004420_T01_01_WG01	2	7.76786522886758
CURTIS_H004422	CURTIS_H004422_T01_01_WG01	24	13.0594035626584
CURTIS_H004423	CURTIS_H004423_T03_01_WG01	6	10.8235832874097
CURTIS_H004424	CURTIS_H004424_T01_01_WG01	5	6.97775545237541
CURTIS_H004425	CURTIS_H004425_T01_01_WG01	6	9.91394355408557
CURTIS_H004426	CURTIS_H004426_T01_01_WG01	4	9.15091578729422
CURTIS_H004427	CURTIS_H004427_T01_01_WG01	2	7.85433972863496
CURTIS_H004430	CURTIS_H004430_T01_01_WG01	5	8.19265563328876
CURTIS_H004433	CURTIS_H004433_T01_01_WG01	4	10.0777486177571
CURTIS_H004435	CURTIS_H004435_T01_01_WG01	4	8.7140022272871
CURTIS_H004436	CURTIS_H004436_T01_01_WG01	9	10.428833800645
CURTIS_H004437	CURTIS_H004437_T01_01_WG01	7	13.0893063288888
CURTIS_H004438	CURTIS_H004438_T01_01_WG01	6	9.6495500338634
CURTIS_H004439	CURTIS_H004439_T01_01_WG01	3	10.7392388582932
CURTIS_H004440	CURTIS_H004440_T01_01_WG01	6	11.2760965444245
CURTIS_H004441	CURTIS_H004441_T01_01_WG01	3	9.29310720970289
CURTIS_H004442	CURTIS_H004442_T01_01_WG01	2	11.2227538384483
CURTIS_H004444	CURTIS_H004444_T01_01_WG01	6	8.81279847976324
CURTIS_H004445	CURTIS_H004445_T01_01_WG01	6	12.7390393331007
CURTIS_H004446	CURTIS_H004446_T01_01_WG01	5	10.7909249799902
CURTIS_H004448	CURTIS_H004448_T01_01_WG01	5	11.4124619031294
CURTIS_H004449	CURTIS_H004449_T01_01_WG01	8	7.70942146655312
CURTIS_H004450	CURTIS_H004450_T01_01_WG01	4	9.40811005260885
CURTIS_H004452	CURTIS_H004452_T01_01_WG01	4	10.1872642285278
CURTIS_H004453	CURTIS_H004453_T01_01_WG01	5	9.93468633113006
CURTIS_H004455	CURTIS_H004455_T01_01_WG01	6	9.12205324892875
CURTIS_H004456	CURTIS_H004456_T01_01_WG01	78	13.2401105445787
CURTIS_H004459	CURTIS_H004459_T01_01_WG01	8	10.7842729572344
CURTIS_H004460	CURTIS_H004460_T01_01_WG01	26	12.0254462140686
CURTIS_H004461	CURTIS_H004461_T01_01_WG01	11	8.90542551887952
CURTIS_H004462	CURTIS_H004462_T01_01_WG01	2	10.6736525954484
CURTIS_H004464	CURTIS_H004464_T01_01_WG01	10	11.1012997185927
CURTIS_H004465	CURTIS_H004465_T01_01_WG01	7	9.98619831639154
CURTIS_H004466	CURTIS_H004466_T01_01_WG01	6	10.0430965404022
CURTIS_H004467	CURTIS_H004467_T01_01_WG01	3	11.8978502540848
CURTIS_H004468	CURTIS_H004468_T01_01_WG01	6	9.37189090142203
CURTIS_H004469	CURTIS_H004469_T01_01_WG01	2	8.48669296326954
CURTIS_H004471	CURTIS_H004471_T01_01_WG01	5	13.2626925548665
CURTIS_H004472	CURTIS_H004472_T01_01_WG01	2	8.7481317425581
CURTIS_H004473	CURTIS_H004473_T01_01_WG01	2	7.7421283393182
CURTIS_H004474	CURTIS_H004474_T01_01_WG01	5	9.24840449242266
CURTIS_H004475	CURTIS_H004475_T01_01_WG01	6	11.4119629544197
CURTIS_H004476	CURTIS_H004476_T01_01_WG01	9	11.7549318238559
CURTIS_H004477	CURTIS_H004477_T01_01_WG01	3	7.95992360291153
CURTIS_H004478	CURTIS_H004478_T01_01_WG01	4	10.2849175711197
CURTIS_H004479	CURTIS_H004479_T01_01_WG01	9	11.6253565220928
CURTIS_H004480	CURTIS_H004480_T01_01_WG01	7	11.0153669993633
CURTIS_H004481	CURTIS_H004481_T01_01_WG01	3	10.283189961734
CURTIS_H004483	CURTIS_H004483_T01_01_WG01	4	12.0138363769953
CURTIS_H004484	CURTIS_H004484_T01_01_WG01	6	10.5145363935563
CURTIS_H004485	CURTIS_H004485_T01_01_WG01	3	8.33219444807624
CURTIS_H004486	CURTIS_H004486_T01_01_WG01	4	11.1645738870311
CURTIS_H004488	CURTIS_H004488_T01_01_WG01	2	10.6575952877766
CURTIS_H004489	CURTIS_H004489_T01_01_WG01	4	10.9601646989202
CURTIS_H004490	CURTIS_H004490_T01_01_WG01	5	7.64744122077357
CURTIS_H004491	CURTIS_H004491_T01_01_WG01	10	7.46069099324004
CURTIS_H004492	CURTIS_H004492_T01_01_WG01	4	10.6562580281462
