Sample	Subtype	Cohort	Cell type	Proportion
MB-0660	IC10	METABRIC	CAFs	0.209888253991372
MB-0660	IC10	METABRIC	T-cells	0.0527306068539026
MB-0653	IC10	METABRIC	CAFs	0.0499869355077613
MB-0653	IC10	METABRIC	T-cells	0.0375378357777535
MB-0157	IC10	METABRIC	CAFs	0.241106269377935
MB-0157	IC10	METABRIC	T-cells	0.121704862767992
MB-0292	IC10	METABRIC	CAFs	0.160994544941769
MB-0292	IC10	METABRIC	T-cells	0.00676239019957678
MB-0453	IC10	METABRIC	CAFs	0.217858279686086
MB-0453	IC10	METABRIC	T-cells	0.0234444280151398
MB-0372	IC10	METABRIC	CAFs	0.123825057577017
MB-0372	IC10	METABRIC	T-cells	0.144078691183113
MB-0516	IC4ER-	METABRIC	CAFs	0.130480234283271
MB-0516	IC4ER-	METABRIC	T-cells	0.0438051766527351
MB-0494	IC10	METABRIC	CAFs	0.221274518176783
MB-0494	IC10	METABRIC	T-cells	0.0763374341630376
MB-0221	IC4ER-	METABRIC	CAFs	0.113795395738408
MB-0221	IC4ER-	METABRIC	T-cells	0.0658100913849425
MB-0659	IC4ER-	METABRIC	CAFs	0.0845379996579021
MB-0659	IC4ER-	METABRIC	T-cells	0.0248580396057353
MB-0400	IC10	METABRIC	CAFs	0.258692822819563
MB-0400	IC10	METABRIC	T-cells	0.0694400844998205
MB-0500	IC10	METABRIC	CAFs	0.14887071429336
